WATTISHAM 
NGR = 6025E  2514N
Altitude = 89 metres
Latitude = 52:12N Longitude = 0:96E
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
09/06/2020,14.3,2.8,
10/06/2020,12.6,8.3,
11/06/2020,13.4,9.1,
12/06/2020,12.6,9.5,
13/06/2020,14.6,10.3,
14/06/2020,18.3,11.1,
15/06/2020,18.7,12.0,
16/06/2020,16.9,12.6,
17/06/2020,19.8,12.6,
18/06/2020,15.3,10.2,
19/06/2020,17.6,11.4,
20/06/2020,20.8,11.2,
21/06/2020,18.5,11.9,
22/06/2020,19.9,7.3,
23/06/2020,23.2,14.4,
24/06/2020,27.9,11.6,
25/06/2020,26.2,13.6,
26/06/2020,26.5,12.0,
27/06/2020,18.2,11.3,
28/06/2020,15.0,10.4,
29/06/2020,16.5,11.1,
30/06/2020,17.5,11.4,


CHARLWOOD 
NGR = 5239E  1398N
Altitude = 67 metres
Latitude = 51:14N Longitude = 0:23W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,24.3,8.6,
02/06/2020,25.3,10.5,
03/06/2020,19.9,8.2,
04/06/2020,16.3,9.6,
05/06/2020,17.3,9.5,
06/06/2020,15.0,6.6,
07/06/2020,20.2,6.5,
08/06/2020,16.5,10.4,
09/06/2020,19.7,9.1,
10/06/2020,16.4,11.2,
11/06/2020,19.8,9.7,
12/06/2020,19.6,12.6,
13/06/2020,24.8,10.2,
14/06/2020,22.7,10.4,
15/06/2020,23.4,8.4,
16/06/2020,22.0,9.7,
17/06/2020,23.1,9.0,
18/06/2020,19.7,13.1,
19/06/2020,19.0,12.3,
20/06/2020,21.3,10.1,
21/06/2020,21.8,13.1,
22/06/2020,22.9,6.5,
23/06/2020,27.8,8.6,
24/06/2020,31.0,11.9,
25/06/2020,32.3,14.7,
26/06/2020,28.9,16.2,
27/06/2020,19.0,13.7,
28/06/2020,19.6,11.3,
29/06/2020,19.7,11.3,
30/06/2020,18.3,11.8,


ST ATHAN 
NGR = 2998E  1683N
Altitude = 49 metres
Latitude = 51:40N Longitude = 3:44W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,24.9,12.4,
02/06/2020,22.3,12.9,
03/06/2020,15.6,13.6,
04/06/2020,15.4,7.6,
05/06/2020,16.0,10.5,
06/06/2020,13.9,6.8,
07/06/2020,17.8,8.3,
08/06/2020,17.3,10.2,
09/06/2020,17.3,7.2,
10/06/2020,16.7,10.8,
11/06/2020,18.0,11.0,
12/06/2020,20.8,12.4,
13/06/2020,20.8,10.8,
14/06/2020,20.4,12.7,
15/06/2020,20.7,12.7,
16/06/2020,21.4,13.2,
17/06/2020,19.4,11.9,
18/06/2020,15.6,14.0,
19/06/2020,16.5,12.4,
20/06/2020,19.7,12.7,
21/06/2020,17.1,13.2,
22/06/2020,21.4,11.7,
23/06/2020,23.5,12.3,
24/06/2020,28.3,14.8,
25/06/2020,28.8,16.7,
26/06/2020,18.1,15.1,
27/06/2020,17.7,14.4,
28/06/2020,16.6,12.2,
29/06/2020,16.1,12.6,
30/06/2020,16.6,13.2,


YEOVILTON 
NGR = 3549E  1231N
Altitude = 20 metres
Latitude = 51:01N Longitude = 2:64W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,25.4,10.2,
02/06/2020,25.5,9.3,
03/06/2020,16.5,13.9,
04/06/2020,16.4,9.0,
05/06/2020,17.9,11.3,
06/06/2020,15.0,6.1,
07/06/2020,19.7,4.2,
08/06/2020,19.3,10.1,
09/06/2020,20.4,8.3,
10/06/2020,16.0,11.0,
11/06/2020,19.9,10.9,
12/06/2020,21.8,12.8,
13/06/2020,20.9,9.6,
14/06/2020,20.9,12.2,
15/06/2020,22.0,9.0,
16/06/2020,21.1,12.1,
17/06/2020,20.3,9.3,
18/06/2020,16.3,13.3,
19/06/2020,17.7,12.4,
20/06/2020,19.2,12.6,
21/06/2020,20.1,13.3,
22/06/2020,20.7,8.3,
23/06/2020,25.1,11.2,
24/06/2020,29.2,11.7,
25/06/2020,30.4,13.4,
26/06/2020,22.2,16.8,
27/06/2020,19.4,14.8,
28/06/2020,19.1,10.8,
29/06/2020,17.6,11.5,
30/06/2020,19.2,11.5,


LECONFIELD 
NGR = 5025E  4431N
Altitude = 7 metres
Latitude = 53:87N Longitude = 0:44W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,20.1,6.3,
02/06/2020,22.3,6.4,
03/06/2020,14.2,11.9,
04/06/2020,14.0,8.5,
05/06/2020,13.7,7.1,
06/06/2020,14.1,7.5,
07/06/2020,12.2,6.4,
08/06/2020,13.7,7.6,
09/06/2020,16.7,4.3,
10/06/2020,14.2,9.4,
11/06/2020,14.6,10.2,
12/06/2020,15.1,11.1,
13/06/2020,20.2,11.4,
14/06/2020,18.8,11.4,
15/06/2020,19.5,12.3,
16/06/2020,18.0,11.6,
17/06/2020,19.3,11.4,
18/06/2020,16.5,12.3,
19/06/2020,19.5,10.8,
20/06/2020,21.5,11.0,
21/06/2020,20.8,13.7,
22/06/2020,22.6,9.6,
23/06/2020,25.8,13.5,
24/06/2020,28.3,13.1,
25/06/2020,25.1,11.5,
26/06/2020,28.7,11.7,
27/06/2020,21.6,15.3,
28/06/2020,18.5,11.6,
29/06/2020,15.8,12.2,
30/06/2020,16.7,12.5,


GLASGOW  BISHOPTON 
NGR = 2417E  6710N
Altitude = 59 metres
Latitude = 55:91N Longitude = 4:53W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,24.8,7.9,
02/06/2020,22.7,9.5,
03/06/2020,17.7,8.6,
04/06/2020,15.9,8.6,
05/06/2020,14.1,6.2,
06/06/2020,18.4,8.3,
07/06/2020,19.4,8.8,
08/06/2020,17.5,7.9,
09/06/2020,13.6,6.9,
10/06/2020,15.0,8.1,
11/06/2020,17.4,8.8,
12/06/2020,21.4,11.2,
13/06/2020,15.6,11.9,
14/06/2020,22.7,12.6,
15/06/2020,19.8,14.0,
16/06/2020,23.7,14.1,
17/06/2020,22.5,13.1,
18/06/2020,21.9,9.9,
19/06/2020,20.9,11.7,
20/06/2020,19.8,11.1,
21/06/2020,18.0,12.3,
22/06/2020,15.9,7.4,
23/06/2020,17.0,11.6,
24/06/2020,20.6,13.8,
25/06/2020,28.0,13.1,
26/06/2020,21.3,14.2,
27/06/2020,18.2,9.6,
28/06/2020,14.0,10.9,
29/06/2020,14.2,11.3,
30/06/2020,19.7,11.5,


DYCE 
NGR = 3876E  8126N
Altitude = 65 metres
Latitude = 57:21N Longitude = 2:20W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,21.3,6.1,
02/06/2020,17.7,9.8,
03/06/2020,10.1,7.5,
04/06/2020,10.5,6.0,
05/06/2020,10.7,5.6,
06/06/2020,15.4,6.3,
07/06/2020,10.6,8.1,
08/06/2020,11.4,4.9,
09/06/2020,15.0,2.9,
10/06/2020,12.4,8.2,
11/06/2020,15.1,6.7,
12/06/2020,14.3,8.7,
13/06/2020,13.9,10.7,
14/06/2020,14.9,11.0,
15/06/2020,15.0,11.1,
16/06/2020,18.7,10.8,
17/06/2020,17.1,11.2,
18/06/2020,14.2,9.1,
19/06/2020,17.5,10.7,
20/06/2020,22.0,11.4,
21/06/2020,18.4,10.9,
22/06/2020,17.1,9.2,
23/06/2020,20.4,12.3,
24/06/2020,23.7,11.9,
25/06/2020,21.6,11.4,
26/06/2020,23.8,14.1,
27/06/2020,20.4,12.8,
28/06/2020,17.1,11.1,
29/06/2020,18.0,11.4,
30/06/2020,16.8,12.1,


WINTERBOURNE NO2 
NGR = 4050E  2842N
Altitude = 140 metres
Latitude = 52:46N Longitude = 1:93W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,24.3,10.1,
02/06/2020,25.2,9.1,
03/06/2020,13.3,12.9,
04/06/2020,14.9,8.1,
05/06/2020,14.7,7.5,
06/06/2020,16.2,5.8,
07/06/2020,15.9,7.8,
08/06/2020,16.5,6.2,
09/06/2020,18.7,8.8,
10/06/2020,15.7,10.3,
11/06/2020,17.4,10.4,
12/06/2020,17.3,10.8,
13/06/2020,24.2,13.1,
14/06/2020,23.6,12.6,
15/06/2020,24.7,12.3,
16/06/2020,23.5,14.8,
17/06/2020,20.7,10.5,
18/06/2020,14.2,12.6,
19/06/2020,16.7,12.6,
20/06/2020,21.5,8.6,
21/06/2020,19.7,12.1,
22/06/2020,22.5,7.5,
23/06/2020,26.5,11.9,
24/06/2020,29.8,12.6,
25/06/2020,30.6,15.4,
26/06/2020,27.3,17.2,
27/06/2020,19.6,13.3,
28/06/2020,18.8,10.2,
29/06/2020,14.7,12.0,
30/06/2020,18.8,12.3,


ALMONDSBURY 
NGR = 3613E  1837N
Altitude = 75 metres
Latitude = 51:55N Longitude = 2:56W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,24.5,10.6,
02/06/2020,24.7,11.8,
03/06/2020,15.1,13.7,
04/06/2020,16.3,7.3,
05/06/2020,17.3,10.1,
06/06/2020,15.1,7.0,
07/06/2020,18.5,5.2,
08/06/2020,19.1,9.9,
09/06/2020,19.8,8.5,
10/06/2020,17.0,10.2,
11/06/2020,18.1,10.4,
12/06/2020,19.8,12.0,
13/06/2020,21.9,11.3,
14/06/2020,21.5,12.2,
15/06/2020,21.2,9.2,
16/06/2020,21.7,13.6,
17/06/2020,21.9,10.8,
18/06/2020,15.4,13.6,
19/06/2020,17.1,12.5,
20/06/2020,20.7,12.6,
21/06/2020,18.1,12.8,
22/06/2020,22.0,10.2,
23/06/2020,26.1,11.3,
24/06/2020,29.9,11.6,
25/06/2020,31.1,15.0,
26/06/2020,22.6,18.4,
27/06/2020,18.7,14.0,
28/06/2020,17.4,12.0,
29/06/2020,16.7,12.8,
30/06/2020,18.9,13.1,


LONDON  ST JAMES'S PARK 
NGR = 5298E  1800N
Altitude = 5 metres
Latitude = 51:50N Longitude = 0:13W
Date,Daily Maximum Temperature (0900-0900),Daily Minimum Temperature (0900-0900)
    ,(degC),(degC)
01/06/2020,25.8,12.3,
02/06/2020,25.5,13.1,
03/06/2020,19.4,13.9,
04/06/2020,17.0,10.9,
05/06/2020,17.6,10.3,
06/06/2020,14.7,7.9,
07/06/2020,18.8,7.5,
08/06/2020,16.2,10.6,
09/06/2020,19.8,9.0,
10/06/2020,15.8,13.2,
11/06/2020,20.1,11.4,
12/06/2020,21.3,13.8,
13/06/2020,25.1,13.5,
14/06/2020,23.0,13.7,
15/06/2020,24.1,12.0,
16/06/2020,24.2,13.9,
17/06/2020,22.3,13.4,
18/06/2020,20.5,13.9,
19/06/2020,19.6,13.9,
20/06/2020,22.4,12.7,
21/06/2020,23.0,14.7,
22/06/2020,23.7,11.1,
23/06/2020,28.2,13.0,
24/06/2020,30.6,16.5,
25/06/2020,31.5,18.2,
26/06/2020,30.2,18.8,
27/06/2020,21.2,16.1,
28/06/2020,20.9,12.4,
29/06/2020,19.9,12.3,
30/06/2020,19.3,13.1,


